                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.61439,                0.46623,                0.96957,                0.93755,                0.90612,                0.96284,                0.84883,                0.50228,                 0.3217,                0.85693,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.56095,                0.45132,                 0.9647,                0.94704,                0.90936,                0.96456,                0.85046,                0.49159,                0.31861,                 0.8527,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.61249,                0.44799,                0.95249,                0.90885,                0.92787,                0.96226,                0.85247,                0.48674,                0.31971,                0.85276,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                0.56523,                0.42806,                0.96313,                0.94494,                0.89626,                0.96736,                0.85938,                0.48217,                0.31424,                0.84802,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                0.55594,                0.41371,                0.95604,                0.92771,                0.91433,                0.96719,                0.86344,                 0.4765,                0.31393,                0.84478,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                0.57839,                0.42721,                 0.9619,                0.93452,                0.91326,                0.96841,                0.86743,                0.46889,                0.31165,                0.84128,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                0.54688,                 0.4095,                0.93565,                0.93189,                0.92461,                0.96885,                  0.869,                 0.4637,                0.30419,                0.84054,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.55222,                0.40232,                 0.9342,                0.93927,                0.92054,                0.96996,                0.86781,                0.46522,                 0.3007,                0.84192,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.55785,                0.42558,                0.95473,                0.94885,                0.91148,                 0.9685,                0.86902,                0.46787,                0.30024,                 0.8423,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                0.58529,                0.42039,                0.95822,                0.95424,                0.91983,                0.97122,                0.87219,                0.46099,                0.29752,                0.83783,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                 0.5579,                0.40234,                0.94502,                0.95005,                 0.9214,                0.97096,                0.86989,                0.46125,                0.29736,                0.83617,             6.8342e-05,             6.8342e-05,             6.8342e-05
